Run_ID,Scenario_ID,Replica,Semilla,Escenario,CAPACIDAD_BODEGA,STOCK_INICIAL,PUNTO_REORDEN,CANTIDAD_REABASTECIMIENTO,TIEMPO_ENTRE_LLEGADAS,TAMANO_PEDIDO,LEAD_TIME_PROVEEDOR,TIEMPO_SIMULACION,STOCK_INICIAL_RATIO,PUNTO_REORDEN_RATIO,CANTIDAD_REABASTECIMIENTO_RATIO,Demanda_Diaria_Esperada,Cobertura_Inicial_Dias,Cobertura_ROP_Dias,Cobertura_Q_Dias,Brecha_LeadTime_Dias,Categoria_Riesgo,Inventario_Final,Total_Solicitudes,Pedidos_Surtidos,Ventas_Perdidas,Nivel_Servicio,Unidades_Vendidas,Unidades_Perdidas,Fill_Rate_Unidades,Ordenes_Proveedor,Inventario_Promedio,Costo_Ordenes,Costo_Escasez,Costo_Inventario,Costo_Total
SCN-0001-R01,SCN-0001,1,20270516,Media demanda / Rapido proveedor / Ajustada,8000,1440,800,1760,0.9,120,1.0,120,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,5.0,Bajo,1817.0,129,129,0,100.0,15463.0,0.0,100.0,9,1550.7189,9000.0,0.0,27912.9405,36912.9405
SCN-0001-R02,SCN-0001,2,20270517,Media demanda / Rapido proveedor / Ajustada,8000,1440,800,1760,0.9,120,1.0,120,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,5.0,Bajo,1615.0,131,131,0,100.0,15665.0,0.0,100.0,9,1447.5258,9000.0,0.0,26055.4635,35055.4635
SCN-0001-R03,SCN-0001,3,20270518,Media demanda / Rapido proveedor / Ajustada,8000,1440,800,1760,0.9,120,1.0,120,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,5.0,Bajo,817.0,127,127,0,100.0,14703.0,0.0,100.0,8,1560.9574,8000.0,0.0,28097.2335,36097.2335
SCN-0002-R01,SCN-0002,1,20280516,Media demanda / Rapido proveedor / Ajustada,8000,1440,800,1760,0.9,120,1.0,240,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,5.0,Bajo,2041.0,240,240,0,100.0,29319.0,0.0,100.0,17,1579.5669,17000.0,0.0,56864.4075,73864.4075
SCN-0002-R02,SCN-0002,2,20280517,Media demanda / Rapido proveedor / Ajustada,8000,1440,800,1760,0.9,120,1.0,240,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,5.0,Bajo,2099.0,257,257,0,100.0,31021.0,0.0,100.0,18,1564.4192,18000.0,0.0,56319.0915,74319.0915
SCN-0002-R03,SCN-0002,3,20280518,Media demanda / Rapido proveedor / Ajustada,8000,1440,800,1760,0.9,120,1.0,240,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,5.0,Bajo,2194.0,242,242,0,100.0,29166.0,0.0,100.0,17,1570.5475,17000.0,0.0,56539.7085,73539.7085
SCN-0003-R01,SCN-0003,1,20290516,Media demanda / Lento proveedor / Ajustada,8000,1440,800,1760,0.9,120,3.0,120,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,3.0,Bajo,982.0,140,140,0,100.0,16298.0,0.0,100.0,9,1306.9024,9000.0,0.0,23524.2435,32524.2435
SCN-0003-R02,SCN-0003,2,20290517,Media demanda / Lento proveedor / Ajustada,8000,1440,800,1760,0.9,120,3.0,120,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,3.0,Bajo,1693.0,131,128,3,97.71,15587.0,413.0,97.4188,9,1247.1137,9000.0,4804.0,22448.046,36252.046
SCN-0003-R03,SCN-0003,3,20290518,Media demanda / Lento proveedor / Ajustada,8000,1440,800,1760,0.9,120,3.0,120,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,3.0,Bajo,344.0,124,124,0,100.0,15176.0,0.0,100.0,9,1302.9532,9000.0,0.0,23453.157,32453.157
SCN-0004-R01,SCN-0004,1,20300516,Media demanda / Lento proveedor / Ajustada,8000,1440,800,1760,0.9,120,3.0,240,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,3.0,Bajo,1387.0,274,265,9,96.72,31733.0,1078.0,96.7145,18,1245.2067,18000.0,13124.0,44827.4415,75951.4415
SCN-0004-R02,SCN-0004,2,20300517,Media demanda / Lento proveedor / Ajustada,8000,1440,800,1760,0.9,120,3.0,240,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,3.0,Bajo,252.0,265,263,2,99.25,31108.0,240.0,99.2344,18,1264.0018,18000.0,2920.0,45504.0645,66424.0645
SCN-0004-R03,SCN-0004,3,20300518,Media demanda / Lento proveedor / Ajustada,8000,1440,800,1760,0.9,120,3.0,240,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,3.0,Bajo,986.0,255,255,0,100.0,30374.0,0.0,100.0,17,1284.2426,17000.0,0.0,46232.7345,63232.7345
SCN-0005-R01,SCN-0005,1,20310516,Alta demanda / Rapido proveedor / Ajustada,8000,1440,800,1760,0.9,220,1.0,120,0.18,0.1,0.22,244.4444,5.8909,3.2727,7.2,2.2727,Bajo,692.0,152,149,3,98.03,32428.0,757.0,97.7188,19,1372.3852,19000.0,7556.0,24702.933,51258.933
SCN-0005-R02,SCN-0005,2,20310517,Alta demanda / Rapido proveedor / Ajustada,8000,1440,800,1760,0.9,220,1.0,120,0.18,0.1,0.22,244.4444,5.8909,3.2727,7.2,2.2727,Bajo,217.0,134,133,1,99.25,29383.0,291.0,99.0193,17,1376.5047,17000.0,2828.0,24777.0855,44605.0855
