Scenario_ID,Escenario,CAPACIDAD_BODEGA,STOCK_INICIAL,PUNTO_REORDEN,CANTIDAD_REABASTECIMIENTO,TIEMPO_ENTRE_LLEGADAS,TAMANO_PEDIDO,LEAD_TIME_PROVEEDOR,TIEMPO_SIMULACION,STOCK_INICIAL_RATIO,PUNTO_REORDEN_RATIO,CANTIDAD_REABASTECIMIENTO_RATIO,Demanda_Diaria_Esperada,Cobertura_Inicial_Dias,Cobertura_ROP_Dias,Cobertura_Q_Dias,Brecha_LeadTime_Dias,Categoria_Riesgo,Replicas,Nivel_Servicio_mean,Nivel_Servicio_std,Nivel_Servicio_min,Nivel_Servicio_p05,Nivel_Servicio_p95,Fill_Rate_Unidades_mean,Ventas_Perdidas_mean,Ventas_Perdidas_max,Unidades_Perdidas_mean,Prob_Ruptura,Costo_Total_mean,Costo_Total_std,Costo_Total_p50,Costo_Total_p95,Costo_Total_CVaR95,Inventario_Promedio_mean,Ordenes_Proveedor_mean,Unidades_Vendidas_mean,Total_Solicitudes_mean
SCN-0011,Baja demanda / Lento proveedor / Ajustada,8000,1440,800,1760,1.8,120,3.0,120,0.18,0.1,0.22,66.6667,21.6,12.0,26.4,9.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,30615.3342,1478.5189,29973.5285,32073.026,32306.3035,1441.5927,4.6667,8076.0,69.0
SCN-0015,Media demanda / Lento proveedor / Ajustada,8000,1440,800,1760,1.8,220,3.0,120,0.18,0.1,0.22,122.2222,11.7818,6.5455,14.4,3.5455,Bajo,3,99.4033,1.0335,98.21,98.389,100.0,99.3666,0.3333,1,75.6667,33.3333,32882.118,1377.1048,33540.58,33779.7978,33806.3775,1395.0066,7.0,12088.3333,56.6667
SCN-0075,Baja demanda / Lento proveedor / Ajustada,8000,2800,800,1760,1.8,120,3.0,120,0.35,0.1,0.22,66.6667,42.0,12.0,26.4,9.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,32898.215,1899.3764,33905.695,34064.0036,34081.5935,1605.4564,4.0,8141.6667,68.6667
SCN-0009,Baja demanda / Rapido proveedor / Ajustada,8000,1440,800,1760,1.8,120,1.0,120,0.18,0.1,0.22,66.6667,21.6,12.0,26.4,11.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,33189.493,1424.0207,33379.043,34396.2252,34509.2455,1621.6385,4.0,7333.3333,61.3333
SCN-0003,Media demanda / Lento proveedor / Ajustada,8000,1440,800,1760,0.9,120,3.0,120,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,3.0,Bajo,3,99.2367,1.3221,97.71,97.939,100.0,99.1396,1.0,3,137.6667,33.3333,33743.1488,2173.0594,32524.2435,35879.2657,36252.046,1285.6564,9.0,15687.0,131.6667
SCN-0067,Media demanda / Lento proveedor / Ajustada,8000,2800,800,1760,0.9,120,3.0,120,0.35,0.1,0.22,133.3333,21.0,6.0,13.2,3.0,Bajo,3,99.53,0.8141,98.59,98.731,100.0,99.5388,0.6667,2,78.3333,33.3333,34621.7803,1798.3646,33688.0135,36394.2617,36694.956,1407.1359,8.3333,15947.6667,134.3333
SCN-0073,Baja demanda / Rapido proveedor / Ajustada,8000,2800,800,1760,1.8,120,1.0,120,0.35,0.1,0.22,66.6667,42.0,12.0,26.4,11.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,34923.9465,1122.901,35288.971,35765.9247,35818.9195,1717.997,4.0,8157.6667,68.0
SCN-0077,Media demanda / Rapido proveedor / Ajustada,8000,2800,800,1760,1.8,220,1.0,120,0.35,0.1,0.22,122.2222,22.9091,6.5455,14.4,5.5455,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,35749.2273,2977.9277,36666.1085,38011.4209,38160.9,1578.6608,7.3333,14246.3333,65.6667
SCN-0001,Media demanda / Rapido proveedor / Ajustada,8000,1440,800,1760,0.9,120,1.0,120,0.18,0.1,0.22,133.3333,10.8,6.0,13.2,5.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,36021.8792,931.0284,36097.2335,36831.3698,36912.9405,1519.734,8.6667,15277.0,129.0
SCN-0065,Media demanda / Rapido proveedor / Ajustada,8000,2800,800,1760,0.9,120,1.0,120,0.35,0.1,0.22,133.3333,21.0,6.0,13.2,5.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,36301.4563,234.1541,36274.7925,36520.5001,36547.801,1553.7846,8.3333,15861.6667,133.6667
SCN-0013,Media demanda / Rapido proveedor / Ajustada,8000,1440,800,1760,1.8,220,1.0,120,0.18,0.1,0.22,122.2222,11.7818,6.5455,14.4,5.5455,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,36364.5652,472.5758,36513.3495,36721.6941,36744.8435,1538.7721,8.6667,15380.0,70.3333
SCN-0079,Media demanda / Lento proveedor / Ajustada,8000,2800,800,1760,1.8,220,3.0,120,0.35,0.1,0.22,122.2222,22.9091,6.5455,14.4,3.5455,Bajo,3,97.5867,1.8506,95.45,95.768,98.675,97.5255,2.0,4,436.6667,100.0,37126.0427,3826.107,36200.098,40817.1417,41330.1465,1349.9653,8.3333,16463.0,79.0
SCN-0095,Media demanda / Lento proveedor / Ajustada,8000,2800,800,3600,1.8,220,3.0,120,0.35,0.1,0.45,122.2222,22.9091,6.5455,29.4545,3.5455,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,42733.936,478.2944,42993.9325,43022.719,43025.9175,2151.8853,4.0,13689.3333,62.0
SCN-0027,Baja demanda / Lento proveedor / Ajustada,8000,1440,800,3600,1.8,120,3.0,120,0.18,0.1,0.45,66.6667,21.6,12.0,54.0,9.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,42758.0722,1424.9252,42320.472,44147.477,44350.4775,2227.3003,2.6667,8453.6667,72.3333
SCN-0069,Alta demanda / Rapido proveedor / Ajustada,8000,2800,800,1760,0.9,220,1.0,120,0.35,0.1,0.22,244.4444,11.4545,3.2727,7.2,2.2727,Bajo,3,99.2233,0.105,99.12,99.13,99.319,99.1656,1.0,1,234.0,100.0,43184.6307,2225.5653,43128.823,45206.6998,45437.575,1396.998,15.6667,28393.6667,130.6667
SCN-0019,Media demanda / Lento proveedor / Ajustada,8000,1440,800,3600,0.9,120,3.0,120,0.18,0.1,0.45,133.3333,10.8,6.0,27.0,3.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,43374.053,1174.0509,43987.007,44101.9919,44114.768,2131.8918,5.0,17478.6667,145.0
SCN-0131,Media demanda / Lento proveedor / Ajustada,12000,2160,1200,2640,0.9,120,3.0,120,0.18,0.1,0.22,133.3333,16.2,9.0,19.8,6.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,44114.9508,590.4803,44256.6855,44585.1671,44621.665,2098.9787,6.3333,16793.3333,142.3333
SCN-0139,Baja demanda / Lento proveedor / Ajustada,12000,2160,1200,2640,1.8,120,3.0,120,0.18,0.1,0.22,66.6667,32.4,18.0,39.6,15.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,44188.28,1981.6171,43950.8445,46045.2102,46277.9175,2288.2378,3.0,7968.3333,66.0
