Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
0.41,Llegada Demanda (Surtida),183,2000,1817,0,10000,2000,1500,5000,1.5,150,2.0,180
2.25,Llegada Demanda (Surtida),186,1817,1631,0,10000,2000,1500,5000,1.5,150,2.0,180
2.68,Llegada Demanda (Surtida),159,1631,1472,0,10000,2000,1500,5000,1.5,150,2.0,180
2.68,Emisión Pedido,5000,1472,1472,0,10000,2000,1500,5000,1.5,150,2.0,180
2.84,Llegada Demanda (Surtida),175,1472,1297,0,10000,2000,1500,5000,1.5,150,2.0,180
3.51,Llegada Demanda (Surtida),151,1297,1146,0,10000,2000,1500,5000,1.5,150,2.0,180
5.1,Recepción Material,5000,1146,6146,0,10000,2000,1500,5000,1.5,150,2.0,180
7.42,Llegada Demanda (Surtida),168,6146,5978,0,10000,2000,1500,5000,1.5,150,2.0,180
9.15,Llegada Demanda (Surtida),141,5978,5837,0,10000,2000,1500,5000,1.5,150,2.0,180
9.93,Llegada Demanda (Surtida),198,5837,5639,0,10000,2000,1500,5000,1.5,150,2.0,180
10.16,Llegada Demanda (Surtida),146,5639,5493,0,10000,2000,1500,5000,1.5,150,2.0,180
11.03,Llegada Demanda (Surtida),164,5493,5329,0,10000,2000,1500,5000,1.5,150,2.0,180
11.24,Llegada Demanda (Surtida),154,5329,5175,0,10000,2000,1500,5000,1.5,150,2.0,180
12.66,Llegada Demanda (Surtida),128,5175,5047,0,10000,2000,1500,5000,1.5,150,2.0,180
13.39,Llegada Demanda (Surtida),113,5047,4934,0,10000,2000,1500,5000,1.5,150,2.0,180
13.91,Llegada Demanda (Surtida),174,4934,4760,0,10000,2000,1500,5000,1.5,150,2.0,180
16.28,Llegada Demanda (Surtida),150,4760,4610,0,10000,2000,1500,5000,1.5,150,2.0,180
16.31,Llegada Demanda (Surtida),175,4610,4435,0,10000,2000,1500,5000,1.5,150,2.0,180
16.6,Llegada Demanda (Surtida),155,4435,4280,0,10000,2000,1500,5000,1.5,150,2.0,180
17.28,Llegada Demanda (Surtida),118,4280,4162,0,10000,2000,1500,5000,1.5,150,2.0,180
17.66,Llegada Demanda (Surtida),120,4162,4042,0,10000,2000,1500,5000,1.5,150,2.0,180
18.37,Llegada Demanda (Surtida),95,4042,3947,0,10000,2000,1500,5000,1.5,150,2.0,180
23.56,Llegada Demanda (Surtida),182,3947,3765,0,10000,2000,1500,5000,1.5,150,2.0,180
24.61,Llegada Demanda (Surtida),189,3765,3576,0,10000,2000,1500,5000,1.5,150,2.0,180
25.27,Llegada Demanda (Surtida),139,3576,3437,0,10000,2000,1500,5000,1.5,150,2.0,180
25.32,Llegada Demanda (Surtida),112,3437,3325,0,10000,2000,1500,5000,1.5,150,2.0,180
