ID_Simulacion,Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
20260515_212724,1.71,Llegada Demanda (Surtida),186,1600,1414,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,4.84,Llegada Demanda (Surtida),114,1414,1300,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,4.91,Llegada Demanda (Surtida),119,1300,1181,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,8.63,Llegada Demanda (Surtida),180,1181,1001,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,10.55,Llegada Demanda (Surtida),140,1001,861,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,10.55,Emisión Pedido,2000,861,861,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,10.89,Llegada Demanda (Surtida),127,861,734,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,11.08,Llegada Demanda (Surtida),163,734,571,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,13.45,Recepción Material,2000,571,2571,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,14.98,Llegada Demanda (Surtida),164,2571,2407,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,18.05,Llegada Demanda (Surtida),151,2407,2256,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,18.99,Llegada Demanda (Surtida),204,2256,2052,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,23.3,Llegada Demanda (Surtida),127,2052,1925,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,25.46,Llegada Demanda (Surtida),108,1925,1817,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,26.16,Llegada Demanda (Surtida),122,1817,1695,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,26.91,Llegada Demanda (Surtida),95,1695,1600,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,27.31,Llegada Demanda (Surtida),151,1600,1449,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,27.9,Llegada Demanda (Surtida),121,1449,1328,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,31.24,Llegada Demanda (Surtida),124,1328,1204,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,35.95,Llegada Demanda (Surtida),132,1204,1072,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,39.93,Llegada Demanda (Surtida),90,1072,982,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,39.93,Emisión Pedido,2000,982,982,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,40.48,Llegada Demanda (Surtida),124,982,858,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,42.04,Recepción Material,2000,858,2858,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,43.54,Llegada Demanda (Surtida),137,2858,2721,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,44.12,Llegada Demanda (Surtida),87,2721,2634,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,44.89,Llegada Demanda (Surtida),186,2634,2448,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,53.98,Llegada Demanda (Surtida),208,2448,2240,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,54.0,Llegada Demanda (Surtida),86,2240,2154,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,56.45,Llegada Demanda (Surtida),111,2154,2043,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,59.32,Llegada Demanda (Surtida),113,2043,1930,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,60.75,Llegada Demanda (Surtida),180,1930,1750,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,61.03,Llegada Demanda (Surtida),127,1750,1623,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,61.06,Llegada Demanda (Surtida),105,1623,1518,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,62.17,Llegada Demanda (Surtida),130,1518,1388,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,62.39,Llegada Demanda (Surtida),175,1388,1213,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,63.26,Llegada Demanda (Surtida),165,1213,1048,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,64.7,Llegada Demanda (Surtida),185,1048,863,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,64.7,Emisión Pedido,2000,863,863,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,64.83,Llegada Demanda (Surtida),128,863,735,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,66.67,Llegada Demanda (Surtida),114,735,621,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,67.62,Recepción Material,2000,621,2621,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,69.08,Llegada Demanda (Surtida),159,2621,2462,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,69.93,Llegada Demanda (Surtida),193,2462,2269,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,73.0,Llegada Demanda (Surtida),179,2269,2090,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,82.26,Llegada Demanda (Surtida),176,2090,1914,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,82.47,Llegada Demanda (Surtida),167,1914,1747,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,83.85,Llegada Demanda (Surtida),114,1747,1633,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,84.31,Llegada Demanda (Surtida),139,1633,1494,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,86.74,Llegada Demanda (Surtida),208,1494,1286,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,87.55,Llegada Demanda (Surtida),112,1286,1174,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,90.5,Llegada Demanda (Surtida),143,1174,1031,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,90.94,Llegada Demanda (Surtida),99,1031,932,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,90.94,Emisión Pedido,2000,932,932,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,92.99,Recepción Material,2000,932,2932,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,93.57,Llegada Demanda (Surtida),188,2932,2744,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,96.99,Llegada Demanda (Surtida),132,2744,2612,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,99.71,Llegada Demanda (Surtida),118,2612,2494,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,101.59,Llegada Demanda (Surtida),201,2494,2293,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,101.76,Llegada Demanda (Surtida),125,2293,2168,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,102.36,Llegada Demanda (Surtida),165,2168,2003,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,102.49,Llegada Demanda (Surtida),180,2003,1823,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,105.54,Llegada Demanda (Surtida),191,1823,1632,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,106.07,Llegada Demanda (Surtida),196,1632,1436,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,106.52,Llegada Demanda (Surtida),84,1436,1352,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,107.29,Llegada Demanda (Surtida),129,1352,1223,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,108.85,Llegada Demanda (Surtida),174,1223,1049,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,109.69,Llegada Demanda (Surtida),119,1049,930,0,10000,1600,1000,2000,2.0,150,2.5,210
